Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
666	Pressel, Silvia; Ligrone, Roberto; Duckett, Jeffrey G.; Davis, E. Christine	A novel ascomycetous endophytic association in the rhizoids of the leafy liverwort family Schistochilaceae (Jungermanniidae, Hepaticopsida)	AMERICAN JOURNAL OF BOTANY	2008	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
667	Pressell, Silvia; P'ng, Ken M. Y.; Duckett, Jeffrey G.	An ultrastructural study of the liverwort Mizutania riccardioides Furuki et Iwatsuki: new insights into its systematic affinities and unique surface ornamentation	BRYOLOGIST	2011	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
675	Putkinen, Anuliina; Tuittila, Eeva-Stiina; Siljanen, Henri M. P.; Bodrossy, Levente; Fritze, Hannu	Recovery of methane turnover and the associated microbial communities in restored cutover peatlands is strongly linked with increasing Sphagnum abundance	SOIL BIOLOGY & BIOCHEMISTRY	2018	Bryophyta	Moss	Mix	Methylotrophs, Other Prokaryotes
686	Raghoebarsing, AA; Smolders, AJP; Schmid, MC; Rijpstra, WIC; Wolters-Arts, M; Derksen, J; Jetten, MSM; Schouten, S; Damste, JSS; Lamers, LPM; Roelofs, JGM; den Camp, HJMO; Strous, M	Methanotrophic symbionts provide carbon for photosynthesis in peat bogs	NATURE	2005	Bryophyta	Moss	Methylotrophs	Methylotrophs
687	RAI, AN; BORTHAKUR, M; SINGH, S; BERGMAN, B	ANTHOCEROS-NOSTOC SYMBIOSIS - IMMUNOELECTRONMICROSCOPIC LOCALIZATION OF NITROGENASE, GLUTAMINE-SYNTHETASE, PHYCOERYTHRIN AND RIBULOSE-1,5-BISPHOSPHATE CARBOXYLASE OXYGENASE IN THE CYANOBIONT AND THE CULTURED (FREE-LIVING) ISOLATE NOSTOC-7801	JOURNAL OF GENERAL MICROBIOLOGY	1989	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
688	RAI, AN; BORTHAKUR, M; SODERBACK, E; BERGMAN, B	IMMUNOGOLD LOCALIZATION OF HYDROGENASE IN THE CYANOBACTERIAL-PLANT SYMBIOSES PELTIGERA-CANINA, ANTHOCEROS-PUNCTATUS AND GUNNERA-MAGELLANICA	SYMBIOSIS	1992	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
695	Raspe, O; De Sloover, JR	Morphology, ecology and chorology of Mniaecia jungermanniae (Ascomycota) in Belgium and the significance of its association to leafy liverworts (Jungermanniales).	BELGIAN JOURNAL OF BOTANY	1998	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
697	Raudabaugh, D. B.; Overton, B. E.; Zelski, S. E.; Miller, A. N.	Pure culture response of bryophilous fungi to matric-induced water stress	MYCOSPHERE	2011	Marchantiophyta, Bryophyta	Mix	Mix	Other Fungi, Mucoromycota
698	Raudabaugh, Daniel B.; Matheny, P. Brandon; Hughes, Karen W.; Iturriaga, Teresa; Sargent, Malcolm; Miller, Andrew N.	Where are they hiding? Testing the body snatchers hypothesis in pyrophilous fungi	FUNGAL ECOLOGY	2020	Bryophyta, Marchantiophyta	Mix	Other Fungi	Other Fungi
699	Raudabaugh, Daniel B.; Wells, Daniel G.; Matheny, Patrick B.; Hughes, Karen W.; Sargent, Malcolm; Iturriaga, Teresa; Miller, Andrew N.	In Vitro Observations of the Interactions between Pholiota carbonaria and Polytrichum commune and Its Potential Environmental Relevance	LIFE-BASEL	2021	Bryophyta	Moss	Other Fungi	Other Fungi
703	Reczuga, Monika K.; Lamentowicz, Mariusz; Mulot, Matthieu; Mitchell, Edward A. D.; Buttler, Alexandre; Chojnicki, Bogdan; Slowinski, Michal; Binet, Philippe; Chiapusio, Genevieve; Gilbert, Daniel; Slowinska, Sandra; Jassey, Vincent E. J.	Predator-prey mass ratio drives microbial activity under dry conditions in Sphagnum peatlands	ECOLOGY AND EVOLUTION	2018	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
710	Ricci, J. N.; Morton, R.; Kulkarni, G.; Summers, M. L.; Newman, D. K.	Hopanoids play a role in stress tolerance and nutrient storage in the cyanobacterium Nostoc punctiforme	GEOBIOLOGY	2017	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
713	Rich, Melanie K.; Vigneron, Nicolas; Libourel, Cyril; Keller, Jean; Xue, Li; Hajheidari, Mohsen; Radhakrishnan, Guru, V; Le Ru, Aurelie; Diop, Seydina Issa; Potente, Giacomo; Conti, Elena; Duijsings, Danny; Batut, Aurelie; Le Faouder, Pauline; Kodama, Kyoichi; Kyozuka, Junko; Sallet, Erika; Becard, Guillaume; Rodriguez-Franco, Marta; Ott, Thomas; Bertrand-Michel, Justine; Oldroyd, Giles E. D.; Szovenyi, Peter; Bucher, Marcel; Delaux, Pierre-Marc	Lipid exchanges drove the evolution of mutualism during plant terrestrialization	SCIENCE	2021	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
714	Rikkinen, Jouko; Virtanen, Viivi	Genetic diversity in cyanobacterial symbionts of thalloid bryophytes	JOURNAL OF EXPERIMENTAL BOTANY	2008	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
717	Rimington, William R.; Pressel, Silvia; Duckett, Jeffrey G.; Field, Katie J.; Bidartondo, Martin, I	Evolution and networks in ancient and widespread symbioses between Mucoromycotina and liverworts	MYCORRHIZA	2019	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
718	Rimington, William R.; Pressel, Silvia; Duckett, Jeffrey G.; Field, Katie J.; Read, David J.; Bidartondo, Martin I.	Ancient plants with ancient fungi: liverworts associate with early-diverging arbuscular mycorrhizal fungi	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2018	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
